Title,Platform(s),Genre(s)
The Escapists 2,NS,"Strategy, Role-Playing"
InnerSpace,"Win, Mac, NS, PS4, XBO",Adventure
Kerbal Space Program: Enhanced Edition,"PS4, XBO",Space flight simulation
Street Fighter V Arcade Edition,"Win, PS4",Fighting
Darkest Dungeon,NS,"Role-Playing, Dungeon Crawl"
Gintama Rumble,PS4, Hack and Slash
World to the West,NS,Adventure
Death Mark,"NS, PS4",Visual novel
Digimon Story: Cyber Sleuth – Hacker's Memory,"PS4, PSVita",Role-Playing
Kirby Battle Royale,3DS,Brawler
Iconoclasts,"Win, Mac, Lin, PS4, PSVita","Action, platformer"
Lost Sphear,"Win, NS, PS4",Role-Playing
Subnautica,"Win, Mac","Adventure, survival"
The Inpatient,PS4,Survival horror
Celeste,"Win, Mac, Lin, NS, PS4, XBO",Platformer
Hello Lady! Superior Dynamis,PSVita,Visual novel
Dragon Ball FighterZ,"Win, PS4, XBO",Fighting
Monster Hunter: World,"PS4, XBO",Action Role-Playing
Railway Empire,"Win, PS4, XBO",Simulation
Dissidia Final Fantasy NT,PS4,"Action Role-Playing, fighting"
Night in the Woods,NS,Adventure
Sky Force Reloaded,NS,Shoot 'em up
SteamWorld Dig,NS,"Platformer, action-adventure, metroidvania"
EA Sports UFC 3,"PS4, XBO","Fighting, sports"
Gundemoniums,"PS4, PSVita",Bullet hell shooter
Shadow of the Colossus,PS4,Action-adventure
Aegis Defenders,"Win, Mac, NS, PS4","Platformer, tower defense"
Civilization VI: Rise and Fall,Win,"Turn-based strategy, 4X"
Rust,"Win, Mac, Lin","Action-adventure, survival"
Dragon Quest Builders,NS,"Action Role-Playing, sandbox"
The Seven Deadly Sins: Knights of Britannia,PS4,Adventure
Under Night In-Birth Exe: Late,"PS3, PS4, PSVita","Fighting, visual novel"
Dynasty Warriors 9,"Win, PS4, XBO", Hack and Slash
Kingdom Come: Deliverance,"Win, PS4, XBO",Action Role-Playing
Monster Energy Supercross: The Official Videogame,"Win, NS, PS4, XBO",Racing
Owlboy,NS,Platform-adventure
Radiant Historia: Perfect Chronology,3DS,Role-Playing
The Longest 5 Minutes,"Win, NS, PSVita",Role-Playing
The Legend of Heroes: Trails of Cold Steel II,Win,Role-Playing
A Certain Magical Virtual-On,"PS4, PSVita",Fighting
Secret of Mana,"Win, PS4, PSVita",Action Role-Playing
Bayonetta,NS,"Action,  Hack and Slash"
Bayonetta 2,NS,"Action,  Hack and Slash"
Fe,"Win, NS, PS4, XBO",Action-adventure
Age of Empires: Definitive Edition,Win,Real-time strategy
Armored Warfare,PS4,Tactical shooter
Metal Gear Survive,"Win, PS4, XBO","Survival, action-adventure"
Layers of Fear: Legacy,NS,Psychological horror
Fist of the North Star: Lost Paradise,PS4,Action-adventure
Kimi no Hitomi ni Hit Me,"PS4, PSVita",Visual novel
Pac-Man Championship Edition 2 Plus,NS,"Maze, arcade"
Past Cure,"Win, PS4, XBO",Psychological horror
Sword Art Online: Fatal Bullet,"Win, PS4, XBO",Role-Playing
Yume Nikki: Dream Diary,Win,Adventure
Part Time UFO,"iOS, Droid",Puzzle
De Blob 2 Remastered,"PS4, XBO","Platform, puzzle"
Girls und Panzer: Dream Tank Match,PS4,Action
Gravel,"Win, PS4, XBO",Racing
Heroine Anthem Zero — Episode 1,PS4,Action Role-Playing
Into the Breach,Win,"Turn-based strategy,"
Moss,PS4,"Adventure, puzzle"
Outlast,NS,Survival horror
Payday 2,NS,"First-person shooter, stealth"
Darkest Dungeon,XBO,"Role-Playing, Dungeon Crawl"
H1Z1,Win,Battle royale
Pit People,"Win, XBO","Action Role-Playing, strategy"
Bravo Team,PS4,"Action, first-person shooter"
DJMax Respect,PS4,Rhythm
Fear Effect Sedna,"Win, NS, PS4, XBO","Role-Playing, third-person shooter"
Final Fantasy XV: Windows Edition,Win,Action Role-Playing
Frantics,PS4,Party
Scribblenauts Showdown,"NS, PS4, XBO",Party
Way of the Passive Fist,"Win, PS4, XBO","Action, fighting"
Damascus Gear: Operation Osaka,"Win, PS4, PSVita","Action Role-Playing, shooter"
Chuchel,"Win, iOS, Droid",Graphic adventure
Northgard,Win,"Strategy, city-building"
Warhammer: Vermintide 2,Win,Action
Your Four Knight Princesses Training Story,"NS, PS4, PSVita",Role-Playing
Flinthook,NS,"Platformer, roguelike"
Devil May Cry HD Collection,"Win, PS4, XBO", Hack and Slash
Ghost of a Tale,Win,"Action-adventure, stealth"
Q.U.B.E. 2,"Win, Mac, PS4, XBO",Puzzle
Gal Gunvolt Burst,PS4,Platform
Shin Hayarigami,"iOS, Droid",Visual novel
Surviving Mars,"Win, PS4, XBO","Simulation, strategy"
Burnout Paradise Remastered,"PS4, XBO",Racing
Kirby Star Allies,NS,Platform
Assassin's Creed Rogue: Remastered,"PS4, XBO","Action-adventure, stealth"
Assault Gunners HD Edition,"Win, PS4","Action, mech"
Attack on Titan 2,"Win, NS, PS4, XBO","Action,  Hack and Slash"
R.B.I. Baseball 18,"PS4, XBO",Sports
Sea of Thieves,"Win, XBO",Action-adventure
Shantae and the Pirate's Curse,NS,Platform
Valkyria Chronicles 4,PS4,Tactical Role-Playing
A Way Out,"Win, PS4, XBO",Action-adventure
Detective Pikachu,3DS,Adventure
Ni no Kuni II: Revenant Kingdom,"Win, PS4",Role-Playing
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,"Win, NS, PS4",Role-Playing
Far Cry 5,"Win, PS4, XBO","Action-adventure, first-person shooter"
MLB The Show 18,PS4,Sports
MX vs. ATV All Out,"Win, PS4, XBO",Racing
Outlast 2,NS,Survival horror
The Alliance Alive,3DS,Role-Playing
The Witch and the Hundred Knight 2,PS4,Role-Playing
Long Gone Days,"Win, Mac, Lin",Role-Playing
Shining Resonance Refrain,PS4,Role-Playing
Super Robot Wars X,"PS4, PSVita",Tactical Role-Playing
Crisis on the Planet of the Apes VR,"Win, PS4, Rift",Action-adventure
King of Fighters '97 Global Match,Win,Fighting
Minit,"Win, PS4, XBO",Adventure
Penny-Punching Princess,"NS, PSVita",Fighting
King of Fighters '97 Global Match,"PS4, PSVita",Fighting
Dark Rose Valkyrie,Win,Role-Playing
Extinction,"Win, PS4, XBO", Hack and Slash
Owlboy,"PS4, XBO",Platform-adventure
Regalia: Of Men and Monarchs - Royal Edition,PS4,Role-Playing
Hellblade: Senua's Sacrifice,XBO,Action-adventure
Maelstrom,Win,Real-time strategy
Robocraft Infinity,XBO,"Sandbox, fighting"
Ys Origin,XBO,Action Role-Playing
Death end re;Quest,PS4,Role-Playing
Don't Starve,NS,"Action-adventure, survival"
Regalia: Of Men and Monarchs - Royal Edition,NS,Role-Playing
Asdivine Hearts,NS,Role-Playing
Regalia: Of Men and Monarchs - Royal Edition,XBO,Role-Playing
Ys VIII: Lacrimosa of Dana,Win,Action Role-Playing
Wild Guns Reloaded,NS,Shooting gallery game
Yakuza 6: The Song of Life,PS4,Action-adventure
Aqua Moto Racing Utopia,WiiU,Racing
God of War,PS4,Action-adventure
Nintendo Labo Variety Kit,NS,Interactive model kit
Nintendo Labo Robot Kit,NS,Interactive model kit
BattleTech,"Win, Mac, Lin",Turn-based strategy
Firefighters: Airport Fire Department,NS,Simulation
Firefighters: The Simulation,NS,Simulation
Frostpunk,Win,"City-building, survival"
Gal*Gun 2,"NS, PS4",Rail shooter
Hello Kitty Kruisers,NS,Kart racing
South Park: The Fractured but Whole,NS,Role-Playing
The Swords of Ditto,"Win, Mac, Lin, PS4","Action Role-Playing, roguelike"
Earth Defense Force 4.1: Wing Diver The Shooter,Win,Shoot 'em up
Light Fall,"Win, Mac, NS",Platformer
Saturday Morning RPG,NS,Role-Playing
Super Robot Wars X,"PS4, PSVita",Tactical Role-Playing
The Legend of Heroes: Trails of Cold Steel II: Kai,PS4,Role-Playing
Aqua Moto Racing Utopia,NS,Racing
Psychedelica of the Black Butterfly,PSVita,Visual novel
Snow Moto Racing Freedom,NS,Racing
Battlezone: Gold Edition,"Win, PS4, XBO",First-person shooter
Super Mega Baseball 2,"Win, PS4, XBO",Sports
Professional Construction: The Simulation,NS,Simulation
Total War Saga: Thrones of Britannia,Win,"Turn-based strategy, real-time tactics"
City of Brass,"Win, PS4, XBO","First-person, Dungeon Crawl"
Donkey Kong Country: Tropical Freeze,NS,Platformer
Conan Exiles,"Win, PS4, XBO","Action-adventure, survival"
Pillars of Eternity II: Deadfire,"Win, Mac, Lin",Role-Playing
Steins;Gate 0,Win,Visual novel
Laser League,"Win, PS4, XBO",Sports
Project Nimbus: Code Mirai,PS4,Mech
Battle Chasers: Nightwar,NS,Role-Playing
Little Witch Academia: Chamber of Time,"Win, PS4",Action Role-Playing
Omensight,"Win, PS4",Action Role-Playing
Shin Megami Tensei: Strange Journey Redux,3DS,Role-Playing
Touhou Azure Reflections,PS4,Bullet hell
"Walden, a Game",PS4,"Survival, walking sim"
Floor Kids,Win,Rhythm
FAR: Lone Sails,Win,Vehicle adventure
The Banner Saga,NS,Tactical Role-Playing
Yonder: The Cloud Catcher Chronicles,NS,Adventure
Hyrule Warriors: Definitive Edition,NS,"Action,  Hack and Slash"
Little Nightmares: Complete Edition,NS,"Puzzle-platformer, survival horror"
The Elder Scrolls Online: Summerset,"Win, Mac",MMORPG
Mega Man Legacy Collection,NS,"Action, platform"
Mega Man Legacy Collection 2,NS,"Action, platform"
Runner3,"Win, Mac, NS","Platform, rhythm"
Stardew Valley,PSVita,"Simulation, Role-Playing"
State of Decay 2,"Win, XBO",Survival horror
Tennis World Tour,"Win, NS, PS4, XBO",Sports
Biohazard 7: Resident Evil Cloud Version,NS,Survival horror
Bloodstained: Curse of the Moon,"Win, NS, PS4, XBO, PSVita",Action
Dillon's Dead-Heat Breakers,3DS,"Action, tower defense"
Persona 3: Dancing in Moonlight,"PS4, PSVita",Rhythm
Persona 4: Dancing All Night,PS4,Rhythm
Persona 5: Dancing in Starlight,"PS4, PSVita",Rhythm
Punch Club,NS,Sporting management simulation
7'scarlet,PSVita,Visual novel
Dark Souls Remastered,"Win, PS4, XBO",Action Role-Playing
Detroit: Become Human,PS4,Action-adventure
Sudden Strike 4: European Battlefields Edition,XBO,Real-time tactics
Agony,"Win, PS4, XBO",Survival horror
Fallen Legion: Rise to Glory,NS,Tactical Role-Playing
Harvest Moon: Light of Hope Special Edition,"NS, PS4","Simulation, Role-Playing"
Ikaruga,NS,Shoot 'em up
Legend of Kay Anniversary,NS,"Action-adventure, platform"
Moonlighter,Win,"Action Role-Playing, roguelike"
Sega Genesis Classics,"Win, PS4, XBO",Compilation
Street Fighter 30th Anniversary Collection,"Win, NS, PS4, XBO",Fighting
Yoku's Island Express,"Win, NS, PS4, XBO","Platforming, pinball, adventure"
Pokémon Quest,NS,Action-adventure
Cultist Simulator,"Win, Mac, Lin",Simulation
Full Metal Panic! Fight: Who Dares Wins,PS4,Strategy Role-Playing
Liar Princess and the Blind Prince,"NS, PS4, PSVita",Action-adventure
Overload,"Win, Mac, Lin","First-person shooter, shoot 'em up"
Yesterday Origins,NS,Adventure
BlazBlue: Cross Tag Battle,"Win, NS, PS4",Fighting
Happy Birthdays,NS,Life simulation
Nobunaga's Ambition: Taishi,"Win, PS4",Strategy
